file_id,num_vertices,num_faces,num_geometrical_degenerated_faces,num_combinatorial_degenerated_faces,num_connected_components,num_boundary_edges,num_duplicated_faces,euler_characteristic,num_self_intersections,num_coplanar_intersecting_faces,vertex_manifold,edge_manifold,oriented,total_area,min_area,p25_area,median_area,p75_area,p90_area,p95_area,max_area,min_valance,p25_valance,median_valance,p75_valance,p90_valance,p95_valance,max_valance,min_dihedral_angle,p25_dihedral_angle,median_dihedral_angle,p75_dihedral_angle,p90_dihedral_angle,p95_dihedral_angle,max_dihedral_angle,min_aspect_ratio,p25_aspect_ratio,median_aspect_ratio,p75_aspect_ratio,p90_aspect_ratio,p95_aspect_ratio,max_aspect_ratio,PWN,solid,ave_area,ave_valance,ave_dihedral_angle,ave_aspect_ratio
100026,117,270,11,0,1,0,0,-10,41,18,0,0,0,24024.20393,0,22.8159205,53.54997278,81.23129,174.7125975,367.2148956,796.6826199,3,5,7,8,9.4,11,13,0,0,0,1.570796327,1.570796327,1.570796327,1.577218638,1.105864818,2.23525745,6.31051393,12.16596852,46.81193721,781.6520033,28937.85965,0,0,88.97853307,6.786324786,0.6870289333,430.6460443
100027,218,508,18,0,1,0,3,1,148,45,0,0,0,6401.501934,0,0.3766551443,1.134902089,11.76617208,24.62465561,34.77376393,313.9925276,3,5,6,8,9,12,18,0,0,0.01222146029,1.570796327,1.570796327,1.570931495,3.141592654,1.0583851,2.888296193,6.435717058,10.76082231,103.1976088,398.5135057,97471567271783,0,0,12.60138176,6.651376147,0.6903926996,203299690898
100028,120,228,0,0,3,0,0,6,0,0,1,1,1,1131.335555,0.008925764172,0.429091189,0.6071157396,0.6082083211,16.25,17.875,80,3,5,6,6,6.1,7.2,14,0,0,0.2617993878,1.570796327,1.570796327,1.570796327,1.570796327,1.207106781,4.002271034,4.008829792,4.835696614,14.92931485,29.47436052,25548.26001,1,1,4.961998048,5.7,0.6430160402,429.5274077
100029,202,452,20,0,2,2,0,-21,78,26,0,0,0,24817.58126,0,14.55259478,19.71904345,68.79913375,124.9708316,194.2582966,540.6714574,3,6,6,7,8.9,9,15,0,0,0.01117918786,1.570796327,1.570796327,1.824602858,3.12418108,-726711918949712,3.448580634,5.883754653,13.94346674,43.72881684,236.363485,361340.1087,0,0,54.90615324,6.683168317,0.6642321312,-1678318516407
100030,608,1504,5,0,1,5,5,15,98,25,0,0,0,45105.6424,0,0.7848532939,4.606160696,8.882802364,60.5308591,125.6649025,1982.948074,3,5,6,8,9,11,25,0,4.18E-05,0.0284577553,1.570149722,1.570809776,1.573148558,3.141592654,1.021718595,3.444627618,12.48454117,33.62183112,197.0253996,1035.313832,30731218739,0,0,29.99045372,6.898026316,0.5395531922,48905954.64
100031,310,640,0,0,1,0,0,-10,0,0,0,1,0,4816.206946,0.07567856245,0.9848702064,1.160953922,7.77517327,14.5135339,25.34571425,107.9991753,4,5,6,6,8,11,23,0,0,0.0003291952983,1.570796327,1.570796327,1.570796327,3.140983045,1.001692656,3.321478371,4.097339781,53.18837851,301.2634204,907.0334259,1623939.065,0,0,7.525323353,6.193548387,0.5563367376,7135.917661
100032,1516,3128,2,0,5,0,0,-48,6,0,0,1,0,23660.22268,0,0.7399876349,1.01889191,6.579324848,12.41515712,36.59274448,195.340985,4,5,6,6,7.5,9,26,0,0,1.08E-05,1.570796327,1.570796327,1.570796327,3.141075083,1.003158191,3.660421152,5.878337865,62.33363564,258.5756732,767.3840132,1775330.153,0,0,7.564009807,6.189973615,0.5557966067,2068.542088
100033,204,420,0,0,1,0,0,-6,0,0,0,1,0,12023.3835,2.00E-11,4.582507962,9.178453978,24.03375453,70.5649404,130.5931326,399.4916455,3,5,6,6,7.7,10,16,0,0,0,1.570796327,1.570796327,1.570796327,3.076762158,1.005053282,1.352623962,2.140493539,6.728599617,63.36887303,360.3634032,1327412.138,0,0,28.62710356,6.176470588,0.5753801817,4258.343257
100034,84,188,0,0,1,0,0,-10,0,0,1,1,1,20209.16454,1.74,26.89253596,69.47470048,125.5264533,246.9298418,348.8063699,754.2236688,3,5,6.5,7.25,9.7,10.85,13,0,0,0,1.570796327,1.570796327,1.570796327,2.835075605,1.012493013,2.662006274,4.455598721,10.90274442,41.44757219,144.3527332,6060.631302,1,1,107.4955561,6.714285714,0.6350027704,86.79372989
100035,337,670,0,0,1,0,0,2,0,0,0,1,0,10347.27607,0.05200633454,1.525820078,1.634312268,3.053498247,20.16004768,93.46309573,361.3976483,3,5,6,6,7,8.2,26,0,0,0.2617120489,1.570796327,1.570796327,1.570797753,3.14120874,1.091834952,4.128413995,4.702439469,7.798074891,29.475856,94.5619693,13177.53425,0,0,15.44369563,5.964391691,0.6054039419,86.66766369
100036,123,252,1,0,1,1,7,9,11,16,0,0,0,3711.883524,0,1.744199423,2.349484957,4.239701234,22.04228961,116.6093306,220.5496858,3,5,6,6,7,8,17,0,0,0.004589488084,1.570796327,1.570796327,1.570796327,2.422947046,1.037252291,7.076968966,8.891115291,16.95312064,57.00355165,234.0911267,65556718.1,0,0,14.72969653,5.951219512,0.5915200094,261437.1877
100037,181,375,5,0,1,3,0,-7,12,0,0,0,0,2630.074629,0,0.2752468046,0.3997516718,2.741093825,18.30890063,31.64411822,199.5,2,5,5,6,9,11,17,0,0,2.37E-06,1.570796327,1.570796327,1.570796327,1.575006372,1.21227079,3.491783527,5.960447243,15.68573046,67.46675609,312.2942388,30166.5063,0,0,7.013532345,6.220994475,0.5683298793,219.5813981
100040,362,736,4,0,2,4,0,-6,14,0,0,0,0,16777.6998,0,3.034913439,4.9924787,8.714809465,29.80176085,69.03129585,1171.499954,3,5,5,6,7,11,26,0,0,6.94E-18,1.570796327,1.570796327,1.570796327,2.592740486,1.059202764,11.53273642,18.79215618,71.41735874,249.312152,996.8327113,1004435.816,0,0,22.79578777,6.099447514,0.6015642532,5975.442526
100045,208,420,0,0,3,0,0,-2,188,24,1,1,1,61.10794993,0.0005408937183,0.001957783383,0.005727397756,0.05830908195,0.8400000615,0.999989748,1.71990004,3,5,5,6,8,11.65,17,0,0,0,1.570796327,1.570796327,1.570796327,1.617662354,1.034402223,1.798054383,3.191999274,7.492657669,17.42402161,32.62680436,249.8759026,1,0,0.1454951189,6.057692308,0.592872698,9.772706663
100046,656,1316,0,0,4,0,0,-2,746,0,1,1,1,69.32307499,1.33E-05,0.002538735808,0.01296915508,0.04150139645,0.1487495641,0.2092901632,1.719899875,4,5,5,7,7,9,20,0,0,0,1.570796327,1.570796327,1.570796327,1.617663448,1.034402124,3.153201708,3.372599583,10.42341363,15.83543345,23.91359525,249.8581199,1,0,0.05267710866,6.018292683,0.555256391,9.283785029
100047,1098,2196,0,0,8,0,0,0,1022,33,1,1,1,67.35067843,1.33E-05,0.003649470323,0.01046408802,0.02326657311,0.0825999858,0.140400004,1.450799925,3,5,5,6.75,7,9,34,0,0,0,1.570796327,1.570796327,1.570796327,2.601173416,1.003983953,1.69915888,3.000525483,9.35864524,18.58502721,39.3113306,4669.170814,1,0,0.03066970784,6,0.5121127098,21.24670142
100070,2515,5030,0,0,1,0,0,0,0,0,1,1,1,7473.170962,0.0005428092502,0.05165615815,0.1393644654,0.2740132496,2.60064233,6.445246631,665,4,6,6,6,6,6,52,0,1.32E-05,0.08306215937,0.1574745863,0.1656345544,0.3443197323,1.688855127,1.008429557,1.22181539,1.447752023,2.712201785,12.99057722,35.0733964,917204.7491,1,1,1.485719873,6,0.1514102783,563.892159
100071,539,1070,0,0,1,24,0,-8,0,0,1,1,1,14181.85299,0.01171411659,1.101913789,2.968203339,7.462916814,22.75,72.97809,492,2,5,6,6,7,10,18,0,0,2.94E-22,1.570796327,1.570796327,1.570796327,1.570796327,1.03349767,8.695258997,14.1704779,60.68473628,65.10692656,81.35293163,55638.37798,0,0,13.25406821,6,0.566623441,168.9036933
100072,196,360,0,0,1,36,0,-2,27,0,1,1,1,4460.704339,0.01733282741,0.7397156602,1.696117541,8.473582628,29.25,68.25,270,2,5,5,6,8,10.25,16,0,0,0,1.570796327,1.570796327,1.570796327,1.570796327,1.070528164,13.91366708,16.78401051,38.49144257,81.34614045,124.0897963,16891.37576,0,0,12.39084539,5.693877551,0.5349434158,244.0452097
100073,258,492,0,0,2,24,0,0,0,0,1,1,1,4276.00638,0.01733300639,0.6485512277,2.20496146,2.968224996,8.473593052,45.2219265,270,2,5,6,6,7,9,15,0,0,0,1.570796327,1.570796327,1.570796327,1.570796327,1.070528164,7.950534122,11.75043266,29.65298841,38.49147949,67.76346148,16891.37576,0,0,8.691069878,5.813953488,0.5404135331,98.48684315
100075,726,1460,0,0,6,0,0,-4,439,27,1,1,1,70.52907903,0.0006376787203,0.007206477739,0.01151072656,0.0409813162,0.1440277624,0.2000000104,1.450799921,3,5,5,7,7,9,34,0,0,0,1.570796327,1.570796327,1.570796327,3.141592654,1.023603265,1.69907031,2.468471861,4.301439963,17.43385376,45.98457134,10913.90611,1,0,0.04830758838,6.033057851,0.5521435791,43.45600922
100077,264,528,0,0,1,0,0,0,0,0,1,1,1,3.984757355,0.0002196371313,0.002667328004,0.008102906238,0.01173932001,0.01397548956,0.01536121681,0.03475322289,3,4,5,7,8,11,31,0,0,0.3517241421,1.538789256,1.570796327,1.570796327,1.683043746,1.042885169,1.439100155,2.267172455,3.697308428,6.086285923,16.993646,8391.979118,1,1,0.00754688893,6,0.7313873097,38.12991262
100139,1112,2224,0,0,1,0,0,0,51,12,1,1,1,7727.547161,1.33E-16,0.07756639897,1.132536596,3.114881841,11.90717339,23.59927992,36.27038209,3,5,6,7,8,9,40,0,9.58E-06,0.05701816828,0.244018527,1.512857874,1.570796327,3.141592654,1.000635714,1.65462148,3.79236059,47.53512936,404.008234,2199.12883,939144020344147,1,0,3.474616529,6,0.3190885611,1828511624706
100173,128,250,0,0,1,4,0,1,0,0,1,1,1,26898.10953,2.859042114,80.26384807,109.2637312,136.2908947,161.5597253,171.8689951,270.2159902,4,6,6,6,6,7,8,0,0.1446546248,0.3812691663,0.6907904911,1.002268107,1.371333441,2.325641463,1.002107641,1.067146782,1.183089509,1.520903449,2.812829224,8.728798004,40.07737184,0,0,107.5924381,5.890625,0.491396614,2.433825856
1001930,7225,14438,0,0,4,0,0,6,200,0,1,1,1,7021.087677,1.38E-08,0.1740144581,0.3600298817,0.485273736,0.5971731386,0.6244615768,28.85484344,3,6,6,6,6,8,14,0,0.008218744876,0.04266374429,0.06935550703,0.0844941185,0.1386206071,3.14140872,1.00147701,1.210458779,1.253827926,1.41632215,2.842337938,41.85405092,8268690047,1,0,0.4862922619,5.995017301,0.1113315812,1397073.147
