ID,Thing ID,License,Link,No duplicated faces,Closed,Edge manifold,No degenerate faces,Vertex manifold,Single Component,PWN
32770,10367,Creative Commons - Attribution - Share Alike,https://thingiverse-production-new.s3.amazonaws.com/assets/00/fb/13/44/f5/Octocat-v1.stl,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
34783,10955,Creative Commons - Attribution - Share Alike,https://thingiverse-production-new.s3.amazonaws.com/assets/08/c0/2b/0d/90/gear_hypoid_left.stl,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
34784,10955,Creative Commons - Attribution - Share Alike,https://thingiverse-production-new.s3.amazonaws.com/assets/e8/ab/bd/72/48/gear_hypoid_right.stl,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
34785,10955,Creative Commons - Attribution - Share Alike,https://thingiverse-production-new.s3.amazonaws.com/assets/6b/dd/0c/bd/a3/gear_knee.stl,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
35269,10367,Creative Commons - Attribution - Share Alike,https://thingiverse-production-new.s3.amazonaws.com/assets/7d/a8/70/80/7f/Octocat-v2.stl,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
36069,11322,Creative Commons - Attribution - Share Alike,https://thingiverse-production-new.s3.amazonaws.com/assets/5c/8c/b6/30/c5/dime_counting_tube.stl,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
36075,11322,Creative Commons - Attribution - Share Alike,https://thingiverse-production-new.s3.amazonaws.com/assets/ba/33/02/58/69/Penny_counting_tube.stl,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
36082,11322,Creative Commons - Attribution - Share Alike,https://thingiverse-production-new.s3.amazonaws.com/assets/55/9d/e6/50/a7/quarter_counting_tube.stl,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
36086,11322,Creative Commons - Attribution - Share Alike,https://thingiverse-production-new.s3.amazonaws.com/assets/1a/24/55/d9/16/dime_loading_tube.stl,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
36088,11322,Creative Commons - Attribution - Share Alike,https://thingiverse-production-new.s3.amazonaws.com/assets/b3/20/ad/1e/79/dime_tray.stl,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE
36090,11322,Creative Commons - Attribution - Share Alike,https://thingiverse-production-new.s3.amazonaws.com/assets/d0/0b/dd/cc/34/Penny_loading_tube.stl,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
36091,11322,Creative Commons - Attribution - Share Alike,https://thingiverse-production-new.s3.amazonaws.com/assets/52/8b/b7/4c/e0/quarter_loading_tube.stl,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
36092,11322,Creative Commons - Attribution - Share Alike,https://thingiverse-production-new.s3.amazonaws.com/assets/5f/8f/29/6e/9a/quarter_tray.stl,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE
36371,11322,Creative Commons - Attribution - Share Alike,https://thingiverse-production-new.s3.amazonaws.com/assets/79/94/0d/d2/34/penny_tray.stl,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
36372,11322,Creative Commons - Attribution - Share Alike,https://thingiverse-production-new.s3.amazonaws.com/assets/62/03/0a/20/0d/nickel_counting_tube.stl,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
36373,11322,Creative Commons - Attribution - Share Alike,https://thingiverse-production-new.s3.amazonaws.com/assets/08/43/89/87/90/nickel_loading_tube.stl,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
36374,11322,Creative Commons - Attribution - Share Alike,https://thingiverse-production-new.s3.amazonaws.com/assets/ed/af/c2/66/6e/nickel_tray.stl,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE
37003,11598,GNU - GPL,https://thingiverse-production-new.s3.amazonaws.com/assets/d6/51/5e/b5/0f/domo.stl,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
37004,11598,GNU - GPL,https://thingiverse-production-new.s3.amazonaws.com/assets/ce/c5/52/87/3f/rebel_alliance.stl,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
37009,11599,GNU - GPL,https://thingiverse-production-new.s3.amazonaws.com/assets/dc/e3/4f/87/ab/over_the_top.stl,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
37010,11599,GNU - GPL,https://thingiverse-production-new.s3.amazonaws.com/assets/75/e8/aa/8c/11/rockbottom.stl,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
37011,11600,Creative Commons - Attribution - Share Alike,https://thingiverse-production-new.s3.amazonaws.com/assets/61/05/b9/c9/1f/NewBot.stl,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
37012,11600,Creative Commons - Attribution - Share Alike,https://thingiverse-production-new.s3.amazonaws.com/assets/be/a3/49/6d/aa/5mm_Pegs.stl,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
37065,11614,Creative Commons - Attribution - Share Alike,https://thingiverse-production-new.s3.amazonaws.com/assets/05/f8/23/b5/a7/benchvise_jaw_plate.stl,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
37091,11618,Attribution - Non-Commercial - Share Alike,https://thingiverse-production-new.s3.amazonaws.com/assets/94/65/3a/de/d6/Arm-Shoulder_Flat.stl,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE
37093,11618,Attribution - Non-Commercial - Share Alike,https://thingiverse-production-new.s3.amazonaws.com/assets/04/cf/d7/13/d4/Arm-Elbow2_flat.stl,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
37095,11618,Attribution - Non-Commercial - Share Alike,https://thingiverse-production-new.s3.amazonaws.com/assets/32/06/1a/cc/77/arm-elbow1.stl,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
37111,11625,Creative Commons - Attribution - Share Alike,https://thingiverse-production-new.s3.amazonaws.com/assets/9f/61/85/be/96/YettAnotherEntryfortheMakerBotMascot.stl,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
37137,11625,Creative Commons - Attribution - Share Alike,https://thingiverse-production-new.s3.amazonaws.com/assets/4f/5d/ed/79/c5/Alternate.stl,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
37179,11643,Creative Commons - Attribution - Share Alike,https://thingiverse-production-new.s3.amazonaws.com/assets/ac/fe/49/5a/7e/fusor_grid_jig_1.5v1.stl,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
37211,11653,Creative Commons - Attribution - Share Alike,https://thingiverse-production-new.s3.amazonaws.com/assets/c9/4e/13/d2/06/belt_holder_pillowblock.stl,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
37213,11653,Creative Commons - Attribution - Share Alike,https://thingiverse-production-new.s3.amazonaws.com/assets/76/94/99/93/ee/carriage.stl,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE
37215,11653,Creative Commons - Attribution - Share Alike,https://thingiverse-production-new.s3.amazonaws.com/assets/95/b1/5c/6a/62/carriage_belt_brace.stl,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE
37217,11653,Creative Commons - Attribution - Share Alike,https://thingiverse-production-new.s3.amazonaws.com/assets/be/01/e6/a4/87/laser_mount.stl,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
37219,11653,Creative Commons - Attribution - Share Alike,https://thingiverse-production-new.s3.amazonaws.com/assets/0b/7f/15/a9/ba/nema17_bracket.stl,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE
37221,11653,Creative Commons - Attribution - Share Alike,https://thingiverse-production-new.s3.amazonaws.com/assets/ef/df/94/7e/1f/pulley_bracket.stl,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
